Food,Calories,Protein,Fat,Carbohydrates,Nutrition Density
cream cheese,51,0.9,5.0,0.8,7.07
neufchatel cheese,215,7.8,19.4,3.1,130.1
requeijao cremoso light catupiry,49,0.8,3.6,0.9,5.4
ricotta cheese,30,1.5,2.0,1.5,5.196
cream cheese low fat,30,1.2,2.3,1.2,27.007
cream cheese fat free,19,2.8,0.2,1.4,67.679
gruyere cheese,116,8.3,9.1,0.1,300.694
cheddar cheese,113,6.4,9.3,0.9,215.53
parmesan cheese,71,6.4,4.5,0.6,224.777
romano cheese,19,1.6,1.3,0.2,56.38
parmesan cheese grated,21,1.4,1.4,0.7,3.745
port salut cheese,465,31.4,37.2,0.8,928.4
swiss cheese,98,6.7,7.7,0.4,237.396
goat cheese hard,128,8.6,10.1,0.6,273.2
gouda cheese,100,7.0,7.7,0.6,211.424
pepper jack cheese lucerne,75,5.0,6.0,0.0,13.5
caraway cheese,106,7.1,8.3,0.9,207.072
gjetost cheese,1058,21.9,67.0,96.8,1095.7
tilsit cheese,136,9.8,10.4,0.8,301.069
goat cheese,103,6.1,8.4,0.009,99.494
brick cheese,111,7.0,8.9,0.8,219.002
asadero cheese,402,25.5,31.9,3.2,808.175
camembert cheese,90,5.9,7.3,0.1,129.826
provolone cheese reduced fat,310,27.9,19.9,4.0,906.9
roquefort cheese,314,18.3,26.0,1.7,609.4
queso blanco cheese,366,24.0,28.7,3.0,870.3
queso seco cheese,315,23.8,23.6,2.0,691.0
goat cheese soft,75,5.2,6.0,0.0,51.311
mozzarella cheese,90,6.7,6.6,0.7,165.648
chihuahua cheese,494,28.5,39.2,7.3,934.983
limburger cheese,98,6.0,8.2,0.1,163.575
muenster cheese,486,30.9,39.7,1.5,1019.4
queso fresco cheese,365,22.1,29.1,3.6,745.8
brie cheese,100,6.2,8.3,0.1,70.096
pimento cheese,525,31.0,43.7,2.4,940.9
mexican cheese,316,27.7,21.7,3.8,1337.0
feta cheese,80,4.3,6.4,1.2,160.058
mozzarella cheese fat free,159,35.8,0.0,4.0,1128.2
provolone cheese,463,33.8,35.1,2.8,1070.6
anejo cheese,492,28.3,39.6,6.1,972.205
honey,64,0.08,0.0,17.3,18.892
apple butter,35,0.045,0.063,8.5,11.836
fruit jam,56,0.0,0.095,13.8,19.919
chocolate hazelnut spread,100,1.0,5.5,11.5,39.8
peanut butter,88,3.3,7.4,3.6,15.268
peanut spread,101,3.8,8.5,2.2,27.3
chicken spread,88,10.1,9.8,2.3,31.972
cheese spread,708,17.0,68.6,8.4,267.8
tahini,86,2.7,7.2,3.9,78.6
orange marmalade,49,0.014,0.0,13.3,22.119
american cheese spread,46,2.6,3.4,1.4,97.357
apricot jam,48,0.1,0.01,12.9,18.91
chunky peanut butter,94,3.8,8.0,3.5,24.1
ham and cheese spread,37,2.4,2.8,0.3,38.238
chicken and rice casserole homade,27,2.0,1.0,2.4,5.7
picnic loaf,65,4.2,4.7,1.3,23.7
corn tamale,309,5.8,12.0,44.3,108.1
baked potato with cheese sauce bacon,451,18.4,25.9,44.4,428.7
chinese egg roll,223,7.4,10.6,24.3,81.5
butter croissant,231,4.7,12.0,26.1,66.8
enchilada with cheese beef,323,11.9,17.6,30.5,292.933
corned beef hash with potatoes,387,20.6,24.2,21.9,118.6
biscuit with egg cheese bacon,436,17.4,25.3,35.4,230.2
bagel with ham egg cheese,483,26.7,18.5,52.4,287.6
quesadilla with chicken,529,27.1,27.5,43.3,588.7
corn rice,110,1.8,0.3,25.2,51.9
kung pao chicken,779,59.0,42.2,41.5,320.1
beef empanada,298,10.1,16.3,27.8,76.2
frijoles with cheese,225,11.4,7.8,28.7,240.305
burrito with beef,285,9.1,8.1,43.9,65.89
crispy chicken sandwich,350,14.8,17.6,33.2,114.1
enchilada with cheese,374,15.4,25.3,21.2,65.6
pork egg roll,189,8.4,6.1,25.1,96.5
corn on the cob with butter,155,4.5,3.4,31.9,52.078
pancakes with butter syrup,260,4.1,7.0,45.4,123.319
burrito with beans,224,7.0,6.7,35.7,109.1
scrambled eggs,100,6.5,7.6,1.0,44.726
baked potato with sour cream,393,6.7,22.3,50.0,221.8
turkey and gravy,161,14.1,6.3,11.1,67.374
chicken egg roll,158,8.4,3.6,22.8,84.75
vegetable egg roll,153,5.2,3.6,25.0,84.1
ham cheese roll,67,3.8,5.2,1.1,26.6
biscuit with ham,386,13.4,18.4,43.8,239.732
lemon chicken,1440,68.6,74.9,122.0,545.212
hummus,435,12.0,21.1,49.5,236.1
croissant with egg cheese,368,12.8,24.7,24.3,307.9
enchirito with cheese beef beans,344,17.9,16.1,33.8,292.984
sweet sour pork,38,1.2,2.2,3.3,13.977
crab cake,160,11.3,10.4,5.1,230.596
egg dinner roll,107,3.3,2.2,18.2,46.913
english muffin with egg cheese sausage,472,22.1,29.9,28.8,362.7
buttermilk pancakes,86,2.6,3.5,10.9,77.568
omelet,94,6.4,7.1,0.4,14.377
taco with chicken cheese lettuce,185,13.0,6.2,19.3,161.153
spinach souffle,230,10.7,17.6,8.0,273.4
english muffin with cheese sausage,365,14.3,22.3,27.3,294.696
potato gratin,328,12.4,18.6,27.6,380.7
biscuit with egg,436,17.4,25.3,35.4,230.3
french fries deep fried,222,2.4,10.5,29.4,45.364
sweet sour chicken,46,1.8,2.3,4.4,17.773
burrito with beans beef,460,27.8,18.0,47.0,326.183
nachos with cinnamon sugar,592,7.2,36.0,63.4,202.5
arroz con grandules,209,4.0,5.7,35.4,56.2
chili con carne,271,14.7,8.8,33.1,66.245
arroz con abichuelas,223,6.2,5.4,37.3,78.5
biscuit with sausage,412,10.7,27.1,33.3,125.8
vegetarian stew,304,42.0,7.4,17.3,149.2
chicken sandwich with cheese,632,29.4,38.8,41.6,374.2
biscuit with egg steak,410,17.9,28.4,21.3,210.8
taco salad,212,10.0,11.2,17.9,189.0
succotash,213,9.7,1.5,46.8,109.2
nachos with cheese jalapeno peppers,608,16.8,34.1,60.1,735.0
biscuit with egg ham,442,20.4,27.0,31.4,305.1
ladyfingers,103,3.0,2.6,16.9,38.1
mozzarella steak fried,102,4.6,5.9,7.7,126.963
tamale navajo,285,11.7,11.4,33.7,122.0
blueberry pancakes,84,2.3,3.5,11.0,96.631
chimichanga with beef cheese,443,20.1,23.4,39.3,327.3
egg cheese sandwich,340,15.6,19.4,25.9,290.4
biscuit with egg bacon,458,17.0,31.1,28.6,272.958
pupusas con queso,300,13.7,15.5,26.2,439.9
apple croissant,145,4.2,5.0,21.1,49.733
refried red beans,336,11.7,16.1,36.0,156.2
tostada with guacamole,180,6.2,11.6,16.0,247.853
chicken sandwich,468,30.4,20.9,39.1,94.051
fried rice,228,6.5,3.2,43.4,75.203
pupusas del cerdo,283,14.0,12.7,28.1,119.087
turkey pot pie,699,25.8,34.9,70.3,139.4
cheese croissant,331,7.4,16.7,37.6,108.3
chimichanga with beef,425,19.6,19.7,42.8,153.9
french toast with butter,178,5.2,9.4,18.0,70.093
ham egg cheese sandwich,347,19.2,16.3,30.9,284.0
english muffin with butter,189,4.9,5.8,30.4,146.209
savoury noodle one pan dinner tandaco,172,0.0,1.2,5.5,6.7
ham cheese sandwich,352,20.7,15.5,33.3,205.416
sweet gefilte fish,35,3.8,0.7,3.1,18.677
poached egg,72,6.3,4.7,0.4,40.398
tostada with beef cheese,315,19.0,16.3,22.8,280.498
tostada with beans cheese,223,9.6,9.9,26.5,259.467
pork tamale,247,10.4,12.8,22.4,156.766
nachos with cheese,274,3.5,17.2,27.9,51.581
pulled pork in barbecue sauce,418,32.8,11.0,46.7,206.7
baked potato with cheese sauce,474,14.6,28.7,46.5,429.9
baked beans,310,11.1,10.3,43.3,76.2
arroz con frijoles,220,6.8,5.6,35.6,109.3
taco with beef cheese lettuce,156,6.1,8.8,13.7,93.825
burrito with beans cheese beef,165,7.3,6.6,19.8,103.1
egg mix,30,2.4,2.2,0.098,4.876
falafel,57,2.3,3.0,5.4,10.763
taco salad with chili con carne,193,11.6,8.8,17.7,205.9
wonton wrappers,93,3.1,0.5,18.5,38.815
hushpuppies,512,11.7,20.5,69.9,533.994
chicken pot pie,598,14.6,34.6,57.3,177.7
general tsos chicken,1578,69.0,87.5,128.3,368.673
burrito with beans cheese,379,13.6,11.2,57.8,324.946
vegetarian fillets,247,19.6,15.3,7.7,130.3
biscuit with egg sausage,505,18.0,33.6,34.1,171.757
chicken chow mein,513,40.8,16.9,50.1,256.797
fruit burrito,231,2.5,9.5,35.0,64.3
arroz con leche,369,8.1,9.3,63.0,310.0
caramel custard flan,444,13.9,12.3,69.7,351.2
gelatin dessert,167,3.3,0.0,38.3,49.792
chocolate milk dessert,229,5.9,1.4,51.6,270.99
chocolate mousse,338,6.2,24.0,24.1,200.4
dulce de leche,60,1.3,1.4,10.5,61.415
apple crisp,454,4.9,9.7,87.0,212.724
spinach spaghetti cooked,182,6.4,0.9,36.6,87.4
corn pasta cooked,176,3.7,1.0,39.1,52.3
spaghetti with meat sauce,255,14.3,2.9,43.1,135.1
pasta with meatballs in tomato sauce,273,10.6,13.0,28.3,100.474
cheese tortellini,332,14.6,7.8,50.8,241.181
pasta with sliced franks in tomato sauce,227,11.0,6.0,32.0,216.154
lasagna,166,9.0,6.1,18.9,36.675
macaroni cheese,310,12.6,9.4,43.7,68.319
vegetable lasagna,316,15.6,13.7,32.2,410.066
spinach egg noodles cooked,211,8.1,2.5,38.8,85.297
cheese lasagna,316,15.9,13.0,33.6,381.08
pasta with tomato sauce,176,5.6,1.8,35.1,45.091
spinach pasta cooked,37,1.4,0.3,7.1,14.201
vegetable chicken soup,166,12.3,4.8,21.1,72.737
bean ham soup,198,10.3,2.5,33.5,154.4
cream of chicken soup,227,6.0,14.5,18.0,76.9
tomato soup canned,139,6.3,3.3,22.6,224.932
egg drop soup,65,2.8,1.5,10.3,48.808
scotch broth,197,12.1,6.4,23.0,84.4
cream of onion soup,268,6.7,12.8,31.7,139.473
chicken broth dry,10,0.7,0.2,1.1,11.198
vegetable soup with beef broth,162,6.0,3.8,26.3,80.5
chili with beans canned,287,14.6,14.1,30.5,204.0
beef noodle soup,168,9.6,6.2,17.9,68.232
consomme dry,17,2.2,0.2,1.9,17.2
chicken mushroom soup,126,2.0,6.1,15.1,57.171
beef vegetable soup,120,8.0,2.9,15.4,84.9
black bean soup,234,12.4,3.4,39.6,167.3
split pea soup with ham bacon,189,11.6,3.1,28.6,49.5
cream of mushroom soup,199,3.4,13.4,17.1,66.404
green pea soup,320,16.7,5.7,51.7,145.005
chicken broth soup,78,11.1,2.6,1.9,31.7
chicken mushroom chowder soup,431,16.2,23.7,38.3,99.1
chicken dumplings soup,235,13.6,13.4,14.7,80.269
chicken vegetable soup,148,7.1,5.6,17.0,68.983
turkey vegetable soup,72,3.1,3.0,8.6,33.0
wonton soup,71,4.6,0.6,11.7,30.692
beef stock,31,4.7,0.2,2.9,27.6
mushroom barley soup,186,4.6,5.5,29.3,71.1
gazpacho soup,70,10.7,0.4,6.6,67.5
beef mushroom soup,186,14.0,7.3,15.9,52.1
chicken rice soup,127,12.3,3.2,13.0,68.818
pepperpot soup,100,6.2,4.5,9.1,49.1
vegetable soup,149,4.3,4.0,24.6,82.2
chili beef soup,308,13.4,6.7,49.6,77.607
chicken soup,174,12.4,6.5,16.9,64.716
bean with frankfurters soup,188,10.0,7.0,22.0,129.9
pea soup,161,8.3,2.8,25.6,76.26
turkey soup,135,10.2,4.4,14.1,86.6
stockpot soup,201,9.8,7.8,23.1,90.5
hot sour soup,91,6.0,2.8,10.1,65.954
cheese soup,203,2.0,9.7,28.0,135.1
cream of potato soup,186,3.8,4.7,32.2,88.202
bean with bacon soup,106,5.5,2.1,16.4,91.1
fish stock,40,5.3,1.9,0.0,14.488
split pea soup with ham,381,20.7,8.9,56.2,141.2
beef broth soup,17,2.7,0.5,0.01,18.049
lentil soup with ham,139,9.3,2.8,20.2,81.4
tomato soup,98,2.2,0.7,22.5,66.2
fish broth,39,4.9,1.5,1.0,81.193
chili without beans canned,283,18.1,17.0,14.6,130.8
minestrone soup,167,8.6,5.0,22.6,111.1
clam chowder soup,154,4.4,4.4,24.5,95.69
tomato vegetable soup,54,1.9,0.8,9.9,36.4
cream of rice coup,127,2.2,0.2,28.1,38.5
cream of celery soup,181,3.3,11.2,17.7,116.189
chicken gravy,188,4.6,13.6,12.9,80.872
tomato rice soup,240,4.2,5.5,44.1,134.933
vegetable beef soup,128,18.1,2.0,9.6,34.1
tomato beef noodle soup,281,8.9,8.6,42.3,100.1
oyster stew soup,118,4.2,7.7,8.2,72.8
ramen noodle soup dry,371,8.9,13.3,53.9,106.5
chicken noodle soup,145,7.2,4.7,18.4,33.513
chicken bouillon dry,11,0.7,0.6,0.7,9.502
cream of asparagus soup,174,4.6,8.2,21.5,100.43
turkey noodle soup,139,7.8,4.0,17.3,55.582
cream of shrimp soup,181,5.6,10.4,16.5,69.41
bean with pork soup,335,15.3,11.5,44.1,249.324
chicken broth,12,1.0,0.5,1.0,33.6
beef broth powder,8,0.6,0.3,0.6,3.739
split pea soup,180,9.7,2.3,29.9,91.6
escarole soup,61,3.4,4.0,4.0,95.0
chicken stock,86,6.0,2.9,8.5,25.696
tomato bisque soup,248,4.5,5.0,47.7,152.913
shark fin soup,99,6.9,4.3,8.2,43.2
onion soup,113,7.5,3.5,16.4,87.173
chicken gumbo soup,113,5.3,2.9,16.8,88.8
crab soup,95,10.4,0.8,12.5,120.3
tripe soup,148,17.2,5.2,8.1,75.9
little india little lunch,164,0.0,10.6,2.0,12.6
original chicken sandwich chick fil a,125,0.0,5.1,0.0,5.1
sausage mcmuffin mcdonalds,383,14.6,24.2,28.2,328.5
sausage mcgriddles mcdonalds,421,11.4,24.0,42.2,166.0
crispy chicken drumstick kentucky fried chicken,70,10.6,3.0,0.0,20.632
chicken crispy drumsticks kentucky fried chicken,156,11.8,10.1,4.5,41.248
biscuit kentucky fried chicken,185,3.8,9.1,22.1,68.5
english muffin mcdonalds,97,5.7,2.3,2.9,24.548
french fries mcdonalds,378,4.0,18.1,49.8,77.129
hotdog,383,16.4,23.0,28.5,109.0
french fries burger king,207,2.4,9.2,28.6,42.635
original taco with beef cheese lettuce taco bell,158,6.1,8.8,13.7,93.8
hotdog with chili,296,13.5,13.4,31.3,83.6
chicken crispy wings kentucky fried chicken,148,9.2,10.1,5.1,40.161
egg white delight mcdonalds,250,0.0,16.0,0.0,16.0
